,MassRange,MassMiddle,Monarch,Herrin,SpringField,BlueGem,Monarch_f,Herrin_f,SpringField_f,BlueGem_f
49,2500-2550,2525,2,2,2,2,1.7254918903742444,1.8711567153104804,1.948504593720394,2.0229793220019556
50,2550-2600,2575,2,2,2,2,1.65756988120304,1.7893200965737701,1.8701998266905404,1.949328643245854
51,2600-2650,2625,2,2,2,2,1.6677045855843962,1.7327370501782042,1.7617004612959222,1.8568414653237828
52,2650-2700,2675,2,2,2,2,1.5248247436233917,1.5996255595484652,1.635350687938967,1.76366824435732
53,2700-2750,2725,1,1,2,2,1.472046321575868,1.4857925522106301,1.568571509440579,1.6704983216747242
54,2750-2800,2775,1,1,2,2,1.4647961099799744,1.4063056440280013,1.5223143947619981,1.6000271885666693
55,2800-2850,2825,1,1,1,2,1.4531801795736508,1.341397798029113,1.4002856989428116,1.573901482054037
56,2850-2900,2875,1,1,1,1,1.3653590681459757,1.2937987109632618,1.2881209520364196,1.4574159907137214
57,2900-2950,2925,1,1,1,1,1.2026191035607372,1.2393055886413755,1.2166785937258309,1.436488379575904
58,2950-3000,2975,1,1,1,1,1.1982533847503067,1.1495823176488864,1.1918313797221312,1.3402741408838197
59,3000-3050,3025,1,1,1,1,1.1808294891408213,1.119509124484766,1.153010916866326,1.2620289527006134
60,3050-3100,3075,1,1,1,1,1.2018979803643712,1.058885816707429,1.1204664016879022,1.2208564751855029
61,3100-3150,3125,1,1,1,1,1.1239776955246368,0.9494614247161135,1.0540171075255735,1.1108224270895644
62,3150-3200,3175,1,1,1,1,0.9618224254229378,0.955048772749829,0.9383539575985003,1.107943025273439
63,3200-3250,3225,1,1,1,1,0.9794607090097212,0.8897764501963474,0.973513111588656,1.0944596408240461
64,3250-3300,3275,1,1,1,1,0.9232130996931944,0.8227282737917612,0.8655187543134376,1.0292162876456115
65,3300-3350,3325,1,1,1,1,0.9152612547170533,0.7860130770316971,0.8675184235604162,0.9618983139146648
66,3350-3400,3375,1,1,1,1,0.8618786483698715,0.7814532426891229,0.8104647240066004,0.9541110657040444
67,3400-3450,3425,1,1,1,1,0.8587992574232286,0.7080810103213236,0.7295493908111393,0.8423289271584536
68,3450-3500,3475,1,1,1,1,1.0186157495907684,0.7087866989695791,0.7062253464578877,0.8388459393946184
69,3500-3550,3525,1,1,1,1,0.8829666294095395,0.6651076735706858,0.7071702003587003,0.8114470953092203
70,3550-3600,3575,1,1,1,1,0.8720718221995816,0.6398541012295413,0.6694737878331725,0.7633515199567137
71,3600-3650,3625,1,1,1,1,0.8462283260271234,0.6161592477708074,0.6232981260770754,0.7390002901646715
72,3650-3700,3675,1,1,1,1,0.7396969911261755,0.6006379749193409,0.5981413909679368,0.6962182501223342
73,3700-3750,3725,1,1,1,1,0.804461650086265,0.5395532553335294,0.5913685804634043,0.6459985799593067
74,3750-3800,3775,1,1,1,1,0.6943636788357245,0.54219764905941,0.5595001245415964,0.6295665297325759
75,3800-3850,3825,1,0,1,1,0.7813662179864438,0.48551378999980754,0.5292973808845831,0.6025997608337901
76,3850-3900,3875,1,0,1,1,0.756653131148829,0.4912872537209751,0.5005200633710373,0.5705932141858183
77,3900-3950,3925,1,0,0,1,0.7277302440297281,0.46651060282892637,0.46391919265291737,0.5890339192877154
78,3950-4000,3975,1,0,0,1,0.6286829985180893,0.47388931435436754,0.4614796776245259,0.5386295452281209
79,4000-4050,4025,1,0,0,1,0.6236546259596472,0.40994694348413663,0.40387209819781983,0.5008510018124296
80,4050-4100,4075,1,0,0,0,0.5889042838212663,0.40702725363723324,0.39782829134951786,0.49964053163314204
81,4100-4150,4125,1,0,0,0,0.6715995736099092,0.39177739949663426,0.3834518505311175,0.46728106861137253
82,4150-4200,4175,1,0,0,0,0.592334491458033,0.366233021393846,0.3783243890607588,0.4414159265242543
83,4200-4250,4225,1,0,0,0,0.6165798227088158,0.3634490409023764,0.37142939917250056,0.4392885334298663
84,4250-4300,4275,1,0,0,0,0.5411152546999483,0.33521761756199975,0.3433933032535579,0.41142792960305075
85,4300-4350,4325,1,0,0,0,0.5530625119802778,0.3173117374650544,0.3216575908887413,0.41162252835121954
86,4350-4400,4375,1,0,0,0,0.5670951795852325,0.309200195420271,0.32822676908706416,0.39248918363719604
87,4400-4450,4425,1,0,0,0,0.5809134592128893,0.30330265457413547,0.3060756468175799,0.3654201679385249
88,4450-4500,4475,1,0,0,0,0.5449937281074287,0.2915308373427959,0.30632000558503153,0.33954183271593763
89,4500-4550,4525,1,0,0,0,0.5571553733650563,0.2862226628402584,0.24760873905866923,0.34423199237519314
90,4550-4600,4575,0,0,0,0,0.45202730522460377,0.25474196978978214,0.2738121442217252,0.29733699235037214
91,4600-4650,4625,0,0,0,0,0.4865047899373328,0.23566511182595118,0.27391803302095424,0.3131654566293928
92,4650-4700,4675,0,0,0,0,0.4644812977240011,0.2093064775905604,0.24277043546312824,0.33542887273345395
93,4700-4750,4725,0,0,0,0,0.4532356738239193,0.22575057405897647,0.23374137900579298,0.28674290456870627
94,4750-4800,4775,0,0,0,0,0.4703867120077529,0.20668534832561128,0.24351572970385552,0.2658647676888978
95,4800-4850,4825,0,0,0,0,0.43021820098857,0.21483566447194719,0.24225728205147998,0.25397445434739546
96,4850-4900,4875,0,0,0,0,0.36058108799898225,0.19941132687436192,0.22779531566447161,0.24780996179947098
97,4900-4950,4925,0,0,0,0,0.4782995773516579,0.1917611966380533,0.1866615898101251,0.25476934075940716
98,4950-5000,4975,0,0,0,0,0.39718296266857245,0.19401397193825365,0.17662251711399005,0.22614023679151812
