,Monarch,Herrin,Springfield,Bluegem
fa,0.67,0.69,0.69,0.7
fapr,0.63,0.65,0.66,0.67
faC,0.04,0.03,0.04,0.03
faH,0.23,0.19,0.23,0.21
faN,0.4,0.46,0.43,0.46
faP,0.04,0.04,0.04,0.04
faS,0.16,0.17,0.15,0.17
faB,0.2,0.25,0.24,0.25
fal,0.33,0.31,0.31,0.3
fal*,0.14,0.12,0.12,0.1
falH,0.19,0.19,0.19,0.2
falO,0.06,0.05,0.05,0.01
